SMILES,VINA,CNSMPO
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,-6.0,5.505479887833333
CCOC1=CC2=C(C=C1)N=C3C=CC(=O)C=C3O2,-6.4,5.8615542965
CC(O)(P(=O)(O)O)P(=O)(O)O,-4.7,4.0
CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C,-8.2,4.4699900885
CCSC(=NC1=CC=C(C=C1)C(F)(F)F)N,-5.4,4.6694573523333345
C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,-5.4,4.790751212833333
C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,-5.8,4.0120000000000005
COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,-6.7,4.0125395545
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,-6.9,3.994071428571429
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,-7.2,4.2295313485
CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4,-7.9,4.3512823927857145
C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,-6.1,5.833333333333332
C1=NC(=O)NC(=C1F)N,-4.3,5.5
C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,-7.1,4.4880447475
CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,-6.7,6.0
C1=C(C(=O)NC(=O)N1)F,-4.1,5.5
CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,-7.1,4.514290694857144
CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,-6.2,5.061023159333333
CC1=CNN=C1,-3.3,5.267333333333333
CC1=C(C(=C(N1)C)C(=O)OC)C(=O)C2=CC=CC=C2CC3=CC=CC=C3,-7.7,3.833333333333333
CC1=NC2=C(N1)C(=O)N(C(=O)N2CC3=CC=CO3)C,-6.6,5.833333333333332
C1=CC(=CN=C1)CC2=CC3=C(C=C2)OC(=C3)C(=O)O,-7.4,5.833333333333332
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,-6.4,4.166666666666667
CCCCC1=CN=C(C=C1)C(=O)O,-5.0,5.833333333333332
C1CCC(CC1)(CC(=O)O)CN,-5.2,4.542701083
C1CNCC2=C1C(=O)NO2,-4.6,5.0730570969999995
C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,-7.2,2.264539001642857
C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=CC=C3)C4=CC=CC=C4,-7.6,2.517181088
CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,-6.3,5.138511421333333
CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,-7.4,3.0832068721666657
CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,-7.2,3.5556666666666663
COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,-7.6,2.6951546781904763
CN(C)CCCN1C=C(C2=C1C=CC(=C2)OC)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,-7.2,4.217669710928571
CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O,-9.0,4.947289113404762
CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,-9.3,1.0
C1CCCN(CCC1)CCN=C(N)N,-5.3,4.5
CNCCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2,-5.9,5.037736915
C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCN,-5.7,4.9588358155000005
C1CN(CCN1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,-6.7,5.833333333333332
C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,-7.1,5.814624192833332
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,-7.6,4.9028616019761895
CC1=NCCC2=C1NC3=C2C=CC(=C3)OC,-6.5,5.7828333333333335
CCCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](C)(C)C,-4.9,3.486311904761904
CN1C=C(N=C1)CCN,-3.6,5.048279708833333
C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,-6.3,4.221333333333334
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)CO,-6.0,5.076666666666667
CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C,-5.9,4.539255681999999
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,-5.5,5.345476743833333
CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,-6.0,4.765339759333333
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,-6.6,3.5206224200000005
C1=CC=C2C(=C1)C(=C(N2)O)C3=C(C4=CC=CC=C4N3)N=O,-7.8,4.089575413166667
C1=CC=C2C(=C1)C(=CN2)CO,-5.0,5.301
CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,-8.3,3.3437619047619043
CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2,-6.0,5.833333333333332
C1=CN=CC=C1C(=O)NN,-4.6,5.5
C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCC(=O)NO,-7.6,5.5
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)O)OC,-6.7,5.080447877
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC,-6.9,4.281039391214286
CC(C)N(CCC(=O)C1=CC2=CC=CC=C2C=C1)CC3=CC=CC=C3,-7.6,2.809293498
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC=C3)OC,-6.7,5.189634403333333
C1=CC2=C(C(=O)C=CC2=O)C(=C1)O,-5.9,5.833333333333332
CN(C)C1=CC=C(C=C1)C(=O)NCCCCCC(=O)NO,-5.9,5.166666666666667
C1C2=C3C4=CC=CC=C4NC3=C5C(=C2C(=O)N1)C6=CC=CC=C6N5,-10.1,4.632598274166667
C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br,-8.8,4.4932092710000004
CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,-8.4,4.4812594295
C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O,-6.3,5.5
C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,-6.0,5.476333333333334
CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,-7.7,5.6853411925
CCCCCCCCCCCC(=O)O,-4.8,4.062495492833333
C1=CC=C(C(=C1)CN(CC2=C(C=CC(=C2)O)O)C3=CC(=C(C=C3)O)C(=O)O)O,-7.3,3.121001287357143
C1=CC(=C(C=C1NCC2=C(C=CC(=C2)O)O)C(=O)O)O,-6.8,4.238333333333333
CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,-6.9,5.579790521333333
C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,-6.0,5.532254655
CC[N+](CC)(CC)CC(=O)NC1=C(C=CC=C1C)C,-5.8,5.288333333333333
